"","StnLocation","geometry"
"185","North Sydney",c(-60.2489999999823, 46.2068000000038)
"186","Nyanza Bay",c(-60.8902700003149, 46.0893700001965)
"187","Orangedale",c(-61.0880699996061, 45.900648000122)
"188","PQ Aqua",c(-67.0152929998021, 45.1448330001769)
"189","Petit de Grat A",c(-60.9604999999849, 45.5071000001101)
"190","Petit de Grat-B",c(-60.9639999998102, 45.5025199996906)
"191","Pictou",c(-62.6973814285334, 45.6790875242712)
"192","Pinette",c(-62.911375, 46.053715)
"193","Pinkneys Point",c(-66.0547090001988, 43.7039959998744)
"194","Pointe Verte",c(-65.76141, 47.86124)
"195","Pointe du Chêne",c(-64.53602778, 46.24061)
"196","Pointe-Verte",c(-65.761785, 47.861025)
"197","Pointe-du-Chêne",c(-64.526785, 46.24047)
"198","Port Bickerton",c(-61.7227500001773, 45.1053200000246)
"199","Port Hawkesbury",c(-61.3696000000589, 45.6136000000546)
"200","Port La Tour",c(-65.4698800000147, 43.4984799998764)
"201","Port Morien",c(-59.8702999996359, 46.1308000000002)
"202","Port Mouton",c(-64.8433999999795, 43.9193999998809)
"203","Portage",c(-60.9945400002699, 45.9367999998933)
"204","Pugwash",c(-63.663015, 45.84658)
"205","Purcells Cove",c(-63.5499999998874, 44.6000000000071)
"206","Queensport",c(-61.2558700000093, 45.3446500002788)
"207","Ram Island",c(-65.4306700003349, 43.5193300001819)
"208","Richibucto",c(-64.861165, 46.680475)
"209","River Bourgeois",c(-60.9473500000052, 45.6292499997202)
"210","Riverport",c(-64.3446000000281, 44.2896000000605)
"211","Robin's Cove, IMBC",c(-61.0998999998209, 45.5062000000556)
"212","Rustico",c(-63.24499, 46.40613)
"213","SABS",c(-67.0846999998247, 45.0823000002805)
"214","Saint Louis de Kent",c(-64.91512, 46.75971)
"215","Sambro",c(-63.5995300000381, 44.47860999987)
"216","Savage Harbour",c(-62.83937, 46.42665)
"217","Seal Cove",c(-66.8413000001777, 44.6474000001492)
"218","Shearwater Yacht Club",c(-63.5210999998715, 44.6280999999657)
